Epoch 1 Metrics: {'loss': 0.2221, 'grad_norm': 0.0, 'learning_rate': 0.00013341858482523444, 'epoch': 1.0997442455242967}
Epoch 1 Metrics: {'loss': 0.2069, 'grad_norm': 0.0, 'learning_rate': 0.00012489343563512362, 'epoch': 1.1253196930946292}
Epoch 1 Metrics: {'loss': 0.1722, 'grad_norm': 0.0, 'learning_rate': 0.00011636828644501279, 'epoch': 1.1508951406649617}
Epoch 1 Metrics: {'loss': 0.2042, 'grad_norm': 0.0, 'learning_rate': 0.00010784313725490197, 'epoch': 1.1764705882352942}
Epoch 1 Metrics: {'loss': 0.2497, 'grad_norm': 0.0, 'learning_rate': 9.931798806479114e-05, 'epoch': 1.2020460358056266}
Epoch 1 Metrics: {'loss': 0.1994, 'grad_norm': 0.0, 'learning_rate': 9.07928388746803e-05, 'epoch': 1.227621483375959}
Epoch 1 Metrics: {'loss': 0.2036, 'grad_norm': 0.0, 'learning_rate': 8.226768968456948e-05, 'epoch': 1.2531969309462916}
Epoch 1 Metrics: {'loss': 0.1938, 'grad_norm': 0.0, 'learning_rate': 7.374254049445865e-05, 'epoch': 1.278772378516624}
Epoch 1 Metrics: {'loss': 0.1998, 'grad_norm': 0.0, 'learning_rate': 6.521739130434782e-05, 'epoch': 1.3043478260869565}
Epoch 1 Metrics: {'loss': 0.1656, 'grad_norm': 0.0, 'learning_rate': 5.6692242114237e-05, 'epoch': 1.329923273657289}
Epoch 1 Metrics: {'loss': 0.2192, 'grad_norm': 0.0, 'learning_rate': 4.816709292412617e-05, 'epoch': 1.3554987212276215}
Epoch 1 Metrics: {'loss': 0.1885, 'grad_norm': 0.0, 'learning_rate': 3.964194373401535e-05, 'epoch': 1.381074168797954}
Epoch 1 Metrics: {'loss': 0.2, 'grad_norm': 0.0, 'learning_rate': 3.111679454390452e-05, 'epoch': 1.4066496163682864}
Epoch 1 Metrics: {'loss': 0.1622, 'grad_norm': 0.0, 'learning_rate': 2.2591645353793694e-05, 'epoch': 1.432225063938619}
Epoch 1 Metrics: {'loss': 0.1725, 'grad_norm': 0.0, 'learning_rate': 1.4066496163682863e-05, 'epoch': 1.4578005115089514}
Epoch 1 Metrics: {'loss': 0.2076, 'grad_norm': 0.0, 'learning_rate': 5.541346973572038e-06, 'epoch': 1.4833759590792839}
Epoch 1 Metrics: {'loss': 0.2004, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.5089514066496164}
Epoch 1 Metrics: {'loss': 0.1854, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.5345268542199488}
Epoch 1 Metrics: {'loss': 0.182, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.5601023017902813}
Epoch 1 Metrics: {'loss': 0.1731, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.5856777493606138}
Epoch 1 Metrics: {'loss': 0.2379, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.6112531969309463}
Epoch 1 Metrics: {'loss': 0.1881, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.6368286445012787}
Epoch 1 Metrics: {'loss': 0.2168, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.6624040920716112}
Epoch 1 Metrics: {'loss': 0.2329, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.6879795396419437}
Epoch 1 Metrics: {'loss': 0.1782, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.7135549872122762}
Epoch 1 Metrics: {'loss': 0.1915, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.7391304347826086}
Epoch 1 Metrics: {'loss': 0.1927, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.7647058823529411}
Epoch 1 Metrics: {'loss': 0.2065, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.7902813299232738}
Epoch 1 Metrics: {'loss': 0.1892, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.815856777493606}
Epoch 1 Metrics: {'loss': 0.1838, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.8414322250639388}
Epoch 1 Metrics: {'loss': 0.1958, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.867007672634271}
Epoch 1 Metrics: {'loss': 0.2164, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.8925831202046037}
Epoch 1 Metrics: {'loss': 0.1975, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.918158567774936}
Epoch 1 Metrics: {'loss': 0.1967, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.9437340153452687}
Epoch 1 Metrics: {'loss': 0.1876, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.969309462915601}
Epoch 1 Metrics: {'loss': 0.2241, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.9948849104859336}
Epoch 2 Metrics: {'eval_loss': 0.20687560737133026, 'eval_accuracy': 0.91728, 'eval_precision': 0.9173035986854271, 'eval_recall': 0.91728, 'eval_f1': 0.9172788305211944, 'eval_runtime': 196.1801, 'eval_samples_per_second': 127.434, 'eval_steps_per_second': 0.999, 'epoch': 2.0}
Epoch 2 Metrics: {'loss': 0.1894, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.020460358056266}
Epoch 2 Metrics: {'loss': 0.1675, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.0460358056265986}
Epoch 2 Metrics: {'loss': 0.1662, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.071611253196931}
Epoch 2 Metrics: {'loss': 0.1994, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.0971867007672635}
Epoch 2 Metrics: {'loss': 0.1785, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.122762148337596}
Epoch 2 Metrics: {'loss': 0.1851, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.1483375959079285}
Epoch 2 Metrics: {'loss': 0.1763, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.1739130434782608}
Epoch 2 Metrics: {'loss': 0.2251, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.1994884910485935}
Epoch 2 Metrics: {'loss': 0.1753, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.2250639386189257}
Epoch 2 Metrics: {'loss': 0.1791, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.2506393861892584}
Epoch 2 Metrics: {'loss': 0.2238, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.2762148337595907}
Epoch 2 Metrics: {'loss': 0.2001, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.3017902813299234}
Epoch 2 Metrics: {'loss': 0.2471, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.3273657289002556}
Epoch 2 Metrics: {'loss': 0.1707, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.3529411764705883}
Epoch 2 Metrics: {'loss': 0.1885, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.3785166240409206}
Epoch 2 Metrics: {'loss': 0.1607, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.4040920716112533}
Epoch 2 Metrics: {'loss': 0.1804, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.4296675191815855}
Epoch 2 Metrics: {'loss': 0.1801, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.455242966751918}
Epoch 2 Metrics: {'loss': 0.2268, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.4808184143222505}
Epoch 2 Metrics: {'loss': 0.2043, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.506393861892583}
Epoch 2 Metrics: {'loss': 0.1992, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.531969309462916}
Epoch 2 Metrics: {'loss': 0.2065, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.557544757033248}
Epoch 2 Metrics: {'loss': 0.1996, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.5831202046035804}
Epoch 2 Metrics: {'loss': 0.1815, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.608695652173913}
Epoch 2 Metrics: {'loss': 0.2102, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.634271099744246}
Epoch 2 Metrics: {'loss': 0.1936, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.659846547314578}
Epoch 2 Metrics: {'loss': 0.2139, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.6854219948849103}
Epoch 2 Metrics: {'loss': 0.1648, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.710997442455243}
Epoch 2 Metrics: {'loss': 0.1379, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.7365728900255757}
Epoch 2 Metrics: {'loss': 0.1611, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.762148337595908}
Epoch 2 Metrics: {'loss': 0.2135, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.78772378516624}
Epoch 2 Metrics: {'loss': 0.1941, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.813299232736573}
Epoch 2 Metrics: {'loss': 0.2318, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 2.8388746803069056}
