Epoch 1 Metrics: {'loss': 0.2425, 'grad_norm': 0.0, 'learning_rate': 0.0018678601875532822, 'epoch': 1.0997442455242967}
Epoch 1 Metrics: {'loss': 0.225, 'grad_norm': 0.0, 'learning_rate': 0.0017485080988917307, 'epoch': 1.1253196930946292}
Epoch 1 Metrics: {'loss': 0.1776, 'grad_norm': 0.0, 'learning_rate': 0.0016291560102301792, 'epoch': 1.1508951406649617}
Epoch 1 Metrics: {'loss': 0.2173, 'grad_norm': 0.0, 'learning_rate': 0.0015098039215686275, 'epoch': 1.1764705882352942}
Epoch 1 Metrics: {'loss': 0.2635, 'grad_norm': 0.0, 'learning_rate': 0.001390451832907076, 'epoch': 1.2020460358056266}
Epoch 1 Metrics: {'loss': 0.2095, 'grad_norm': 0.0, 'learning_rate': 0.0012710997442455243, 'epoch': 1.227621483375959}
Epoch 1 Metrics: {'loss': 0.219, 'grad_norm': 0.0, 'learning_rate': 0.0011517476555839726, 'epoch': 1.2531969309462916}
Epoch 1 Metrics: {'loss': 0.1987, 'grad_norm': 0.0, 'learning_rate': 0.001032395566922421, 'epoch': 1.278772378516624}
Epoch 1 Metrics: {'loss': 0.2148, 'grad_norm': 0.0, 'learning_rate': 0.0009130434782608696, 'epoch': 1.3043478260869565}
Epoch 1 Metrics: {'loss': 0.1684, 'grad_norm': 0.0, 'learning_rate': 0.000793691389599318, 'epoch': 1.329923273657289}
Epoch 1 Metrics: {'loss': 0.2142, 'grad_norm': 0.0, 'learning_rate': 0.0006743393009377664, 'epoch': 1.3554987212276215}
Epoch 1 Metrics: {'loss': 0.197, 'grad_norm': 0.0, 'learning_rate': 0.0005549872122762149, 'epoch': 1.381074168797954}
Epoch 1 Metrics: {'loss': 0.2082, 'grad_norm': 0.0, 'learning_rate': 0.0004356351236146633, 'epoch': 1.4066496163682864}
Epoch 1 Metrics: {'loss': 0.1648, 'grad_norm': 0.0, 'learning_rate': 0.0003162830349531117, 'epoch': 1.432225063938619}
Epoch 1 Metrics: {'loss': 0.1891, 'grad_norm': 0.0, 'learning_rate': 0.00019693094629156009, 'epoch': 1.4578005115089514}
Epoch 1 Metrics: {'loss': 0.2273, 'grad_norm': 0.0, 'learning_rate': 7.757885763000852e-05, 'epoch': 1.4833759590792839}
Epoch 1 Metrics: {'loss': 0.2007, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.5089514066496164}
Epoch 1 Metrics: {'loss': 0.2071, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.5345268542199488}
Epoch 1 Metrics: {'loss': 0.1975, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.5601023017902813}
Epoch 1 Metrics: {'loss': 0.1787, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.5856777493606138}
Epoch 1 Metrics: {'loss': 0.2553, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.6112531969309463}
Epoch 1 Metrics: {'loss': 0.2097, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.6368286445012787}
Epoch 1 Metrics: {'loss': 0.2138, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.6624040920716112}
Epoch 1 Metrics: {'loss': 0.2504, 'grad_norm': 0.0, 'learning_rate': 0.0, 'epoch': 1.6879795396419437}
